learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
29000.0,0.75,5.511327698412869E-9,29000.0,79.7,54.98611887212511,-74.99999999999997,46.71916010498689,29000.0,56128.0,68.0,31.0,31.0,2.0,0.0,0.0,1.0
30000.0,0.765625,5.586835969653394E-9,30000.0,73.8,47.027044513457554,-142.59259259259264,33.83838383838384,30000.0,18680.0,55.0,18.0,18.0,1.0,0.0,0.0,1.0
31000.0,0.78125,5.6634437189333966E-9,31000.0,81.3,59.58783918121071,-25.503355704698006,50.65963060686014,31000.0,18952.0,57.0,19.0,19.0,2.0,0.0,0.0,1.0
32000.0,0.796875,5.858083669510152E-9,32000.0,82.69999999999999,64.78385838632718,-20.138888888888903,58.711217183770884,32000.0,48152.0,68.0,27.0,27.0,3.0,0.0,0.0,1.0
33000.0,0.8125,5.931910386102066E-9,33000.0,83.5,66.57889406522179,-41.025641025641065,63.73626373626372,33000.0,18264.0,70.0,28.0,28.0,2.0,0.0,0.0,1.0
34000.0,0.84375,6.3949199910793034E-9,34000.0,75.5,45.53861201262615,-72.53521126760562,36.36363636363637,34000.0,57272.0,79.0,35.0,35.0,4.0,0.0,0.0,1.0
35000.0,0.875,6.538757588714361E-9,35000.0,77.7,53.793875098421125,-82.78688524590162,47.030878859857495,35000.0,17792.0,83.0,37.0,37.0,2.0,0.0,0.0,1.0
36000.0,0.890625,6.640653332902325E-9,36000.0,89.2,74.57196134938125,29.87012987012989,64.70588235294119,36000.0,25208.0,85.0,38.0,38.0,3.0,0.0,0.0,1.0
37000.0,0.921875,6.815987742609447E-9,37000.0,72.8,34.56284613126885,-67.90123456790121,22.507122507122496,37000.0,21688.0,87.0,39.0,39.0,2.0,0.0,0.0,1.0
38000.0,0.921875,6.815987742609447E-9,38000.0,83.3,60.251723218705955,-17.605633802816914,50.73746312684364,38000.0,12832.0,89.0,40.0,40.0,1.0,0.0,0.0,1.0
39000.0,0.953125,7.2132226907544655E-9,39000.0,86.9,73.51866226793453,0.0,72.00854700854701,39000.0,49136.0,98.0,47.0,47.0,3.0,0.0,0.0,1.0
40000.0,0.96875,7.425130914068883E-9,40000.0,85.5,70.50951424085387,0.6849315068493156,68.2017543859649,40000.0,52424.0,98.0,47.0,47.0,3.0,0.0,0.0,1.0
41000.0,0.984375,7.639755494892596E-9,41000.0,86.1,71.94956572277292,24.86486486486488,70.36247334754798,41000.0,53096.0,98.0,47.0,47.0,3.0,0.0,0.0,1.0
42000.0,1.0,7.686968375411296E-9,42000.0,89.3,78.6097539521978,32.70440251572329,78.34008097165992,42000.0,11680.0,100.0,48.0,48.0,1.0,0.0,0.0,1.0
43000.0,1.0,7.686968375411296E-9,43000.0,82.5,64.77313901525825,-36.718750000000036,62.03904555314532,43000.0,18024.0,100.0,48.0,48.0,1.0,0.0,0.0,1.0
44000.0,1.015625,7.763673137459489E-9,44000.0,80.9,53.844220619792395,-4.371584699453494,47.95640326975478,44000.0,18976.0,102.0,49.0,49.0,2.0,0.0,0.0,1.0
45000.0,1.03125,7.786632825930912E-9,45000.0,74.8,45.63341387642389,-92.36641221374046,40.566037735849065,45000.0,5680.0,97.0,44.0,44.0,0.0,0.0,0.0,1.0
